numRep	nbrJoueur	txtJ1	b1J1	b2J1	b3J1	b4J1	didJ1	voixJ1	sonJ1	imageJ1	txtJ2	b1J2	b2J2	b3J2	b4J2	didJ2	voixJ2	sonJ2	imageJ2	txtJ3	b1J3	b2J3	b3J3	b4J3	didJ3	voixJ3	sonJ3	imageJ3	txtJ4	b1J4	b2J4	b3J4	b4J4	didJ4	voixJ4	sonJ4	imageJ4	mc1	mc2	mc3	mc4	mc5	mc6	mc7	mc8	mc9	mc10	mc11
																																																
33	1	Twitter. « Je ne suis plus constipé. »  																																				provocation	plaisir	bilan	reseau	voyeur	obsession	intimite				
		Voilà.																																														
		Encore une petite bribe de ma vie envoyée aux amis.																																														
		Je ne suis pas seul. Je partage. 																																														
		Il n’y a rien de pire que les individus renfermés sur eux-mêmes…																																														
		 … qui vivent comme si le reste de l’humanité n’existait pas. 																																														
		S’ouvrir aux autres, c’est important. 																																														
		Montrer ce qu’on est, ce qu’on fait. 																																														
		Des gros ventres de femmes enceintes fleurissent sur les réseaux sociaux,																																														
		on exhibe le sac avant d’exhiber le lardon :																																														
		je trouve ça top !																																														
																																																
34	2	Donnez-moi votre avis. 																																				paternalisme	fort/faible	rhétorique	pretention	renversement						
		Qu'il puisse exister des lois et que les meilleurs d'entre nous																																														
		 en viennent à les violer et restent impunis, en un sens, c'est épouvantable, 																																														
		vous êtes d’accord ? 																																														
		Le rayonnement de l'exemple corrompu comme un vulgaire fruit																																														
		 laissé trop longtemps au soleil, c’est inadmissible !																																														
											Ça va, arrête de me draguer. 																																					
											J'ai connu un homme qui avait des mains d'océan,																																					
											avec une profondeur infinie juste au creux de la paume 																																					
											et la fierté d'une algue qui se balance secrètement dans un haut fond. 																																					
											Tu n'auras jamais ces mains-là. Alors va faire le coq ailleurs.																																					
		-. Écoutez, je crois que vous vous méprenez sur mes intentions…																																														
											Fous le camp, 																																					
											les couilles molles, je les repère à cent pas.																																					
																																																
35	1		GO				Allez vers un spectateur qui porte des lunettes																															singulier	pluriel	manipulation	façade	fanfaronner						
			GO				Demandez lui de vous prêter ses lunettes																																									
			GO				Vous vous approchez d'un autre spectateur																																									
			GO				Regardez le/la dans les yeux																																									
			GO				Cherchez un autre spectateur																																									
			GO				Regardez le/la dans les yeux																																									
			GO				Regardez tous les spectateurs																																									
		Vous voyez	GO																																													
		Je porte des lunettes	GO																																													
		J'ai une chevalière au doigt	GO																																													
			GO				Retirez vos lunettes et remettez les au propriétaire																																									
		Quand la situation l'exige	GO																																													
		Je peux me perruquer	GO																																													
		Colorer mes yeux 	GO																																													
		Prendre un accent étranger	GO																																													
		Retourner ma veste	GO				Prenez une chaise et placez la au centre de la scène																																									
			GO																																													
		Je suis un oiseau avisé	GO																																													
		Je ne vole que dans le ciel du possible moi	GO				Asseyez-vous																																									
			GO																																													
		J'ai une philosophie simple	GO																																													
		On fait ce qu'on peut avec ce qu'on a	GO																																													
			GO																																													
		Mais si on sait y faire	GO																																													
		ça peut rapporter gros	GO				Choississez une musique sur votre téléphone que vous connaissez par cœur		Musique choisie par le joueur																																							
			GO				C'est votre moment !																																									
			GO				Faîtes un playback ou chantez avec votre son																																									
			GO				Lancez la musique																																									
																																																
36	1	Je suis médecin.																																				condamnation	temoignage	récit	nihiliste	rhétorique	morts	erreur	vie	bilan		
		Si on avait su, on ne l'aurait pas fait, évidemment ! 																																														
		Mais à l'époque personne ne savait.																																														
		En tout cas, ce n'était pas clair.																																														
		Je ne dis pas qu'on ne savait rien.																																														
		Il est toujours pensable que quelque part quelqu'un sache,																																														
		il y a toujours dans le monde un spécialiste en avance sur le reste de l'humanité.																																														
		Mais pour une personne qui sait, il y en a mille dans l'ignorance.																																														
		En définitive, nous ne savons pas grand chose,																																														
		nous devinons, nous supposons, 																																														
		mais des certitudes, non, laissez-moi rire !																																														
		Que celui qui sait dans la certitude du savoir médical vienne me le dire en face.																																														
		Qu'il vienne ce héros omniscient, ce titan de la connaissance scientifique !																																														
		Alors, on a fait ce qu'on a pu avec les moyens qu'on avait.																																														
		 On l'a fait le plus honnêtement qu'on pouvait.																																														
		 Si encore nous ne l'avions pas fait !																																														
		 Si nous n'avions pas fait tout ce qu'il était possible de faire, mais nous l'avons fait !																																														
		 Fait tout ce qu’il était possible de faire,																																														
		 du moins dans l'état de nos connaissances,																																														
		 tout fait en toute bonne foi.																																														
		 Bien sûr, aujourd'hui nous aimerions n'avoir pas fait ce qui a été fait																																														
		et que nous ne savions pas qu'il ne fallait pas faire.																																														
		C'est comme ça l'Homme. 																																														
		Moi, je ne l'ai su que plus tard.																																														
		Trop tard, je peux le jurer sur la tête de mon père !																																														
		Ce n'est que plus tard que l'évidence m'a tranché comme un rasoir.																																														
		Je ne dis pas qu'au plus haut niveau, il n'y avait pas des affaires de gros sous.																																														
		L'homme est l'homme.																																														
		Le gain, l'ignorance, mais la brebis galeuse doit-elle discréditer le troupeau ?																																														
		Je dis fermement, non !																																														
		En tous cas, en ce qui me concerne, je sais exactement ce que je ne savais pas.																																														
		J'ai donc ma conscience pour moi 																																														
		et parfois contre moi, d'accord, mais bouc émissaire, non !																																														
		Que les politiques prennent leur part dans cette affaire!																																														
		C'est une question de dignité pour le corps médical,																																														
		notre dignité à tous, ai-je soutenu au conseil de l'ordre.																																														
		Alors madame, qu'une malheureuse transfusion,																																														
		infectée par la saloperie, ait arraché la vie à votre petit garçon, je le regrette très profondément,																																														
		mais excusez-moi, il n'y a pas de raison que je mette le premier la tête sous la guillotine.																																														
		Vous comprenez ?																																														
																																																
37	1	Tu veux me lécher les doigts ? 																																				jeu	fanfaronner	perversion	fort/faible	posture	sexe					
		Je te préviens : C'est le goût du sang salé des rebelles																																														
		et quand j'ouvre les bras j’ai l'envergure des grands aigles !																																														
																																																
38	1	Toi, par exemple, tu serais un chargement de café brésilien, je saurais exactement ce que tu vaux.																																				marchandage	vente	fanfaronner	négocier	capitalisme	corruption					
		Je pourrais le dire au centime près : vendre et acheter est mon métier. 																																														
		J'achète pour vendre, je vends pour acheter, 																																														
		c'est le mouvement qui fait le bénéfice, 																																														
		ça me met sur le dos les fringues que tu vois, 																																														
		et, à la banque, de l'argent qui fait de l'argent. 																																														
		Fais-moi confiance, j'ai le commerce dans le sang. 																																														
		Je vendrais une tonne de sable à un bédouin.																																														
																																																
39	1	Dieu fit toute chose, la terre et le ciel, les poils de rat et les crottes de nez. 																																				mythe	genèse	faute	voyeurisme	nu	recit	sexe	misanthropie	perversion		
		Fit aussi la connerie de me créer sans bras et sans pattes si bien que depuis la nuit des temps je suis serpent, 																																														
		je racle le sol de mon ventre. 																																														
		Et un jour, comme je redressais péniblement la tête, 																																														
